-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  22.8408   Longitude 88.6535 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.29 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,16.14,7.06,11.6,16.12,17.48,26.03,8.55,6.23,58.38,0.0
2019,1,2,16.68,7.58,12.13,16.66,17.07,26.26,9.19,6.41,58.31,0.0
2019,1,3,16.37,6.0,11.18,15.7,16.45,26.06,9.61,5.74,53.88,0.0
2019,1,4,15.59,5.64,10.62,14.89,16.84,24.96,8.12,5.62,55.12,0.0
2019,1,5,16.39,6.91,11.65,16.03,17.51,26.15,8.65,6.16,57.0,0.0
2019,1,6,18.36,8.91,13.63,18.01,17.11,27.76,10.65,7.02,58.06,0.0
2019,1,7,19.05,8.54,13.79,18.28,17.13,28.4,11.27,6.9,54.12,0.0
2019,1,8,18.72,9.46,14.09,18.56,16.34,27.81,11.48,7.32,58.44,0.0
2019,1,9,18.4,9.76,14.08,18.56,15.12,27.06,11.94,7.45,60.56,0.0
2019,1,10,17.51,7.19,12.34,17.28,15.33,25.92,10.6,6.29,54.25,0.0
2019,1,11,16.74,5.21,10.98,16.23,15.31,25.33,10.02,5.49,49.88,0.0
2019,1,12,16.9,6.59,11.74,16.59,16.96,26.21,9.25,6.04,54.0,0.0
2019,1,13,17.87,7.26,12.57,17.82,17.3,27.51,10.22,6.29,53.06,0.0
2019,1,14,18.25,7.62,12.93,17.58,16.11,26.68,10.57,6.47,53.38,0.0
2019,1,15,17.9,6.32,12.11,17.29,14.68,26.21,11.53,5.92,49.62,0.0
2019,1,16,16.42,2.87,9.64,16.52,17.73,26.21,8.48,4.64,44.44,0.0
2019,1,17,16.68,3.59,10.13,16.9,18.24,26.82,8.58,4.88,45.62,0.0
2019,1,18,17.22,3.83,10.53,16.78,17.63,26.82,9.19,5.0,45.44,0.0
2019,1,19,16.94,3.66,10.3,16.62,17.95,26.86,8.9,4.94,45.12,0.0
2019,1,20,17.9,5.97,11.94,17.34,16.28,26.61,10.33,5.74,48.69,0.0
2019,1,21,19.56,6.65,13.11,18.15,16.62,27.73,11.11,6.04,45.62,0.0
2019,1,22,21.15,7.26,14.2,19.1,15.9,29.28,13.38,6.29,43.12,0.0
2019,1,23,21.37,7.22,14.29,19.85,16.48,30.27,13.8,6.29,43.06,0.0
2019,1,24,21.69,8.88,15.29,21.04,16.71,30.9,14.19,7.08,46.75,0.0
2019,1,25,21.71,10.45,16.08,21.25,15.5,29.93,14.43,7.81,51.75,0.0
2019,1,26,21.9,10.99,16.44,22.51,16.52,30.96,14.44,8.12,54.06,0.0
2019,1,27,21.12,12.53,16.82,21.9,14.06,28.57,14.51,8.97,61.44,0.0
2019,1,28,22.02,11.36,16.69,22.83,12.8,29.03,16.23,8.3,53.31,0.0
2019,1,29,19.8,6.23,13.01,20.44,13.59,27.21,13.62,5.92,43.75,0.0
2019,1,30,17.08,-0.5,8.3,16.98,18.1,26.19,8.09,3.66,34.94,0.0
2019,1,31,18.82,2.98,10.9,18.01,17.84,27.66,9.82,4.7,37.06,0.0
2019,2,1,19.87,6.02,12.95,20.04,18.17,29.67,11.5,5.8,44.06,0.0
2019,2,2,20.47,5.41,12.94,20.01,18.2,29.63,11.43,5.55,41.25,0.0
2019,2,3,20.98,4.84,12.9,20.2,17.77,30.19,12.41,5.31,37.69,0.0
2019,2,4,21.35,5.59,13.47,20.52,15.97,29.98,14.0,5.62,38.44,0.0
2019,2,5,21.0,4.8,12.9,20.4,17.6,30.3,12.7,5.31,38.19,0.0
2019,2,6,21.97,5.12,13.55,20.65,16.73,30.02,13.3,5.43,35.88,0.0
2019,2,7,23.12,8.93,16.02,22.92,16.59,31.81,15.21,7.14,43.12,0.0
2019,2,8,23.98,12.17,18.08,24.77,16.34,32.23,15.89,8.85,53.31,0.0
2019,2,9,23.37,13.84,18.61,24.45,13.03,30.63,17.61,9.83,58.12,0.87
2019,2,10,19.76,3.77,11.76,20.69,15.05,28.33,13.28,5.62,46.5,0.01
2019,2,11,19.12,2.06,10.59,19.37,17.9,28.55,10.65,4.33,34.88,0.0
2019,2,12,20.44,3.92,12.18,21.01,18.14,30.1,11.96,5.0,36.75,0.0
2019,2,13,21.49,4.85,13.17,21.96,17.95,30.87,12.91,5.31,37.0,0.0
2019,2,14,23.19,5.34,14.27,23.52,19.45,33.15,13.71,5.55,35.38,0.0
2019,2,15,24.08,7.37,15.73,24.61,19.01,33.94,14.93,6.35,38.31,0.0
2019,2,16,23.03,10.17,16.6,23.01,13.25,29.82,16.57,7.69,45.38,0.5
2019,2,17,22.58,10.76,16.67,23.32,12.92,30.37,17.44,8.18,51.25,0.13
2019,2,18,22.24,4.26,13.25,22.19,16.08,30.55,14.47,5.19,33.88,0.0
2019,2,19,24.08,10.65,17.37,24.59,17.03,33.46,16.43,8.12,49.06,0.0
